Date,Open,High,Low,Close,Volume
12/23/2022,"87.62","90.10","87.62","89.81","17,815,010"
12/22/2022,"88.93","89.18","86.94","88.26","23,656,070"
12/21/2022,"89.73","90.92","88.91","90.25","20,336,391"
12/20/2022,"88.73","89.78","88.04","89.63","21,976,850"
12/19/2022,"90.88","91.20","88.93","89.15","23,020,539"
12/16/2022,"91.20","91.75","90.01","90.86","48,485,512"
12/15/2022,"93.54","94.03","90.43","91.20","28,298,760"
12/14/2022,"95.54","97.22","93.94","95.31","26,452,939"
12/13/2022,"98.07","99.80","95.38","95.85","34,788,520"
12/12/2022,"93.09","93.87","91.90","93.56","27,380,949"
12/09/2022,"93.90","94.49","93.02","93.07","21,885,311"
12/08/2022,"95.69","95.87","93.80","93.95","25,593,230"
12/07/2022,"96.77","97.31","95.03","95.15","26,647,881"
12/06/2022,"99.67","100.21","96.76","97.31","20,877,619"
12/05/2022,"99.82","101.75","99.36","99.87","19,955,551"
12/02/2022,"99.37","101.15","99.17","100.83","18,821,529"
12/01/2022,"101.40","102.59","100.67","101.28","21,771,539"
11/30/2022,"95.12","101.45","94.67","101.45","39,888,070"
11/29/2022,"96.00","96.39","94.39","95.44","20,220,010"
11/28/2022,"97.20","97.83","95.89","96.25","19,981,971"
11/25/2022,"98.47","98.94","97.53","97.60","8,567,819"
11/23/2022,"97.34","99.07","97.34","98.82","17,568,859"
11/22/2022,"96.16","97.55","94.41","97.33","18,868,850"
11/21/2022,"97.56","98.72","95.67","95.83","18,696,869"
11/18/2022,"99.01","99.16","96.74","97.80","24,969,881"
11/17/2022,"97.18","99.48","97.10","98.50","21,818,730"
11/16/2022,"98.02","99.85","97.90","98.99","24,660,199"
11/15/2022,"98.67","100.42","97.02","98.72","31,830,971"
11/14/2022,"95.50","97.18","95.11","96.03","24,170,080"
11/11/2022,"94.71","97.36","94.16","96.73","30,569,109"
11/10/2022,"92.34","94.55","91.65","94.17","42,371,219"
11/09/2022,"88.55","89.49","87.36","87.40","26,743,881"
11/08/2022,"89.16","90.41","87.65","88.91","30,172,000"
11/07/2022,"87.34","88.94","86.96","88.65","26,899,881"
11/04/2022,"85.51","86.73","83.88","86.70","40,173,281"
11/03/2022,"86.35","86.55","83.45","83.49","48,510,359"
11/02/2022,"90.91","91.30","87.01","87.07","43,553,551"
11/01/2022,"95.59","96.17","90.43","90.50","43,220,602"
10/31/2022,"95.78","96.35","94.38","94.66","29,868,711"
10/28/2022,"92.53","96.86","92.32","96.58","35,696,930"
10/27/2022,"94.31","95.17","91.90","92.60","54,036,488"
10/26/2022,"96.76","98.54","94.57","94.82","71,671,805"
10/25/2022,"103.30","105.10","103.02","104.93","29,910,170"
10/24/2022,"102.09","103.10","100.30","102.97","24,680,830"
10/21/2022,"98.46","101.62","98.23","101.48","28,988,730"
10/20/2022,"100.82","103.00","99.97","100.53","25,125,080"
10/19/2022,"100.70","101.66","99.64","100.29","21,573,689"
10/18/2022,"103.94","104.22","100.65","101.39","21,610,539"
10/17/2022,"99.52","101.77","99.51","100.78","23,311,600"
10/14/2022,"100.63","101.29","97.03","97.18","22,624,830"
10/13/2022,"95.93","100.53","95.27","99.71","32,812,219"
10/12/2022,"98.27","99.65","97.67","98.30","17,343,430"
10/11/2022,"98.25","100.12","97.25","98.05","21,617,730"
10/10/2022,"99.85","99.99","97.87","98.71","16,529,900"
10/07/2022,"100.65","101.42","99.21","99.57","24,249,910"
10/06/2022,"101.50","103.73","101.50","102.24","17,156,240"
10/05/2022,"100.69","102.74","99.74","102.22","18,475,520"
10/04/2022,"101.04","102.72","101.04","102.41","22,580,930"
10/03/2022,"97.22","99.97","97.02","99.30","24,840,029"
09/30/2022,"97.73","99.49","96.03","96.15","26,277,830"
09/29/2022,"99.30","99.30","96.52","98.09","21,921,520"
09/28/2022,"98.02","101.40","97.80","100.74","24,617,000"
09/27/2022,"99.91","100.46","97.34","98.09","24,224,990"
09/26/2022,"98.61","100.44","98.38","98.81","22,437,939"
09/23/2022,"100.06","100.11","98.01","99.17","25,656,961"
09/22/2022,"99.45","101.68","99.41","100.57","21,272,680"
09/21/2022,"102.24","103.49","99.99","100.01","26,596,760"
09/20/2022,"102.88","103.17","101.12","101.83","24,001,670"
09/19/2022,"102.54","104.02","102.37","103.85","19,738,600"
09/16/2022,"102.97","104.03","101.86","103.63","64,540,121"
09/15/2022,"105.01","106.21","103.31","103.90","26,494,930"
09/14/2022,"105.44","106.10","104.50","105.87","22,115,811"
09/13/2022,"108.89","109.37","105.00","105.31","33,014,988"
09/12/2022,"111.99","112.64","110.93","111.87","19,732,910"
09/09/2022,"110.05","112.00","110.00","111.78","21,745,029"
09/08/2022,"109.18","110.58","108.06","109.42","21,660,650"
09/07/2022,"107.76","110.99","107.62","110.48","22,987,180"
09/06/2022,"108.14","108.88","106.51","107.48","20,565,051"
09/02/2022,"111.34","111.68","108.13","108.68","20,618,080"
09/01/2022,"109.20","111.22","108.19","110.55","22,784,391"
08/31/2022,"111.63","111.77","109.05","109.15","25,897,980"
08/30/2022,"111.03","111.37","108.80","109.91","20,548,199"
08/29/2022,"110.78","111.96","109.81","110.34","20,386,141"
08/26/2022,"115.81","116.60","111.22","111.30","31,698,670"
08/25/2022,"115.15","117.78","115.05","117.70","14,874,670"
08/24/2022,"114.45","115.72","113.78","114.70","16,051,170"
08/23/2022,"114.32","115.93","114.30","114.77","14,390,690"
08/22/2022,"116.10","116.50","114.67","115.07","19,316,020"
08/19/2022,"119.87","120.00","117.67","118.12","20,186,980"
08/18/2022,"120.23","121.69","119.55","120.86","15,652,030"
08/17/2022,"120.93","122.15","120.20","120.32","17,589,160"
08/16/2022,"122.32","123.23","121.54","122.51","15,626,170"
08/15/2022,"122.21","123.26","121.57","122.88","15,524,950"
08/12/2022,"121.16","122.65","120.40","122.65","16,121,090"
08/11/2022,"122.08","122.34","119.55","119.82","16,671,631"
08/10/2022,"119.59","121.78","119.36","120.65","20,497,020"
08/09/2022,"117.99","118.20","116.56","117.50","15,424,260"
08/08/2022,"119.12","120.86","117.83","118.14","17,061,109"
08/05/2022,"116.93","118.86","116.71","118.22","15,615,660"
08/04/2022,"118.30","119.50","117.71","118.87","15,757,700"
08/03/2022,"116.34","119.42","116.15","118.78","25,302,820"
08/02/2022,"114.43","117.08","114.26","115.90","17,911,039"
08/01/2022,"115.53","117.12","114.69","115.48","22,856,199"
07/29/2022,"113.40","116.90","113.23","116.64","31,336,180"
07/28/2022,"112.80","114.70","111.85","114.59","23,303,840"
07/27/2022,"109.60","114.40","108.42","113.60","41,474,621"
07/26/2022,"107.43","107.74","104.76","105.44","36,626,633"
07/25/2022,"108.88","110.58","107.01","108.21","28,289,939"
07/22/2022,"111.81","113.18","107.60","108.36","44,455,301"
07/21/2022,"115.09","115.21","111.91","115.04","27,267,850"
07/20/2022,"114.06","116.33","113.26","114.70","26,780,090"
07/19/2022,"111.73","114.81","110.50","114.62","30,992,330"
07/18/2022,"113.44","114.80","109.30","109.91","33,353,988"
07/15/2022,"112.96","114.00","111.82","112.77","34,330,760"
07/14/2022,"110.83","111.99","109.33","111.44","32,365,540"
07/13/2022,"112.64","115.16","111.82","112.19","38,958,860"
07/12/2022,"116.84","117.85","114.62","114.85","24,970,160"
07/11/2022,"118.65","118.79","116.23","116.52","26,830,460"
07/08/2022,"117.55","120.44","117.51","120.17","29,082,200"
07/07/2022,"116.01","119.86","115.53","119.31","32,183,940"
07/06/2022,"114.09","116.35","112.25","115.21","28,852,680"
07/05/2022,"107.51","114.05","106.25","113.89","36,429,380"
07/01/2022,"108.34","109.81","107.11","109.08","31,027,880"
06/30/2022,"110.50","111.33","107.31","109.37","38,046,040"
06/29/2022,"112.15","113.66","111.55","112.26","18,627,860"
06/28/2022,"116.35","117.86","112.44","112.57","28,316,220"
06/27/2022,"118.94","119.25","116.00","116.62","32,839,300"
06/24/2022,"113.60","118.64","113.60","118.54","39,122,760"
06/23/2022,"112.95","113.20","111.03","112.68","24,709,720"
06/22/2022,"111.16","113.77","110.72","112.03","23,921,720"
06/21/2022,"109.70","112.67","109.29","112.02","39,010,280"
06/17/2022,"106.54","109.25","105.63","107.87","43,516,660"
06/16/2022,"108.15","109.29","105.79","106.64","35,313,240"
06/15/2022,"108.90","112.06","108.12","110.39","33,192,020"
06/14/2022,"106.89","108.46","106.35","107.19","25,480,940"
06/13/2022,"107.45","109.22","106.59","106.88","36,756,200"
06/10/2022,"112.78","113.50","110.86","111.43","31,349,740"
06/09/2022,"116.34","118.35","114.87","114.92","23,141,600"
06/08/2022,"116.88","118.65","116.70","117.24","22,544,260"
06/07/2022,"115.65","117.75","115.13","117.23","26,413,540"
06/06/2022,"116.74","119.40","116.53","117.01","23,786,720"
06/03/2022,"115.99","116.36","113.67","114.56","24,952,080"
06/02/2022,"114.19","117.90","113.31","117.75","27,495,400"
06/01/2022,"114.93","117.40","113.55","114.14","28,629,280"
05/31/2022,"113.08","116.43","112.57","114.04","51,301,920"
05/27/2022,"109.79","112.87","109.55","112.80","29,924,420"
05/26/2022,"106.05","108.96","105.49","108.30","30,287,480"
05/25/2022,"105.14","106.54","104.21","105.84","37,899,340"
05/24/2022,"106.38","106.40","102.21","105.93","60,386,380"
05/23/2022,"110.10","112.01","109.15","111.67","31,558,220"
05/20/2022,"112.09","112.55","106.37","109.31","37,586,020"
05/19/2022,"111.84","113.59","110.47","110.75","29,191,740"
05/18/2022,"115.24","115.70","112.14","112.40","27,982,760"
05/17/2022,"117.23","117.23","115.34","116.70","21,576,080"
05/16/2022,"115.38","116.61","114.34","114.79","23,282,380"
05/13/2022,"114.85","118.09","114.00","116.52","29,737,560"
05/12/2022,"111.94","114.86","110.11","113.16","41,464,880"
05/11/2022,"113.71","116.67","113.65","113.96","36,501,640"
05/10/2022,"116.04","116.69","113.38","114.58","31,157,780"
05/09/2022,"113.30","115.56","112.55","113.08","34,520,960"
05/06/2022,"115.52","117.50","114.14","115.66","35,309,480"
05/05/2022,"120.22","121.23","115.18","116.75","43,089,040"
05/04/2022,"118.00","123.14","115.74","122.58","33,231,460"
05/03/2022,"116.77","119.30","116.63","118.13","21,215,740"
05/02/2022,"113.91","117.34","113.40","117.16","30,279,640"
04/29/2022,"117.58","118.96","114.69","114.97","33,693,100"
04/28/2022,"117.12","120.44","115.14","119.41","36,790,940"
04/27/2022,"114.37","117.50","113.12","115.02","62,238,120"
04/26/2022,"122.75","122.75","119.16","119.51","49,393,040"
04/25/2022,"119.43","123.28","118.77","123.25","34,521,800"
04/22/2022,"125.00","125.45","119.14","119.61","46,410,300"
04/21/2022,"129.35","130.31","124.65","124.94","30,157,540"
04/20/2022,"131.28","131.92","127.89","128.25","22,609,380"
04/19/2022,"128.08","130.90","127.45","130.53","22,719,300"
04/18/2022,"127.41","128.71","126.58","127.96","14,917,200"
04/14/2022,"130.65","130.71","127.11","127.25","23,483,360"
04/13/2022,"128.63","130.66","128.44","130.29","19,542,960"
04/12/2022,"132.42","132.42","127.58","128.37","23,003,220"
04/11/2022,"132.90","132.94","129.62","129.80","24,187,340"
04/08/2022,"136.25","136.25","133.75","134.01","16,434,480"
04/07/2022,"136.62","137.70","134.86","136.47","19,448,540"
04/06/2022,"139.16","139.85","136.42","137.18","23,574,600"
04/05/2022,"143.40","143.59","140.94","141.06","19,255,560"
04/04/2022,"140.82","144.04","140.82","143.64","19,084,900"
04/01/2022,"140.01","140.95","138.80","140.70","23,480,020"
03/31/2022,"142.45","142.64","139.62","139.65","29,516,320"
03/30/2022,"142.87","143.48","142.17","142.64","21,046,380"
03/29/2022,"143.16","144.16","142.48","143.25","28,678,420"
03/28/2022,"140.68","141.98","139.83","141.95","23,773,080"
03/25/2022,"141.75","141.96","139.70","141.52","19,289,080"
03/24/2022,"139.27","141.40","138.04","141.31","20,544,720"
03/23/2022,"139.14","140.03","138.17","138.50","25,302,320"
03/22/2022,"136.50","141.50","136.50","140.28","29,776,860"
03/21/2022,"136.85","137.58","134.61","136.48","26,632,460"
03/18/2022,"133.88","136.91","132.93","136.80","45,899,700"
03/17/2022,"133.32","134.74","132.72","134.60","23,994,380"
03/16/2022,"131.00","133.77","129.20","133.69","32,058,200"
03/15/2022,"127.74","130.52","126.57","129.66","30,292,600"
03/14/2022,"130.57","131.03","126.41","126.74","30,253,860"
03/11/2022,"134.00","134.20","130.30","130.48","26,599,800"
03/10/2022,"131.46","133.54","131.40","132.68","24,265,200"
03/09/2022,"131.40","134.20","130.09","133.87","32,257,440"
03/08/2022,"126.25","131.25","125.86","127.28","35,249,560"
03/07/2022,"131.90","131.90","126.41","126.46","39,177,900"
03/04/2022,"133.38","134.20","130.41","132.12","24,472,240"
03/03/2022,"135.98","136.71","133.43","134.31","19,779,300"
03/02/2022,"134.61","135.62","133.43","134.75","23,966,740"
03/01/2022,"134.48","136.11","133.38","134.17","24,639,920"
02/28/2022,"133.28","135.64","132.83","134.89","29,675,680"
02/25/2022,"133.53","135.39","131.77","134.52","26,235,860"
02/24/2022,"125.00","133.04","124.76","132.67","43,165,080"
02/23/2022,"131.08","131.75","127.50","127.59","26,431,280"
02/22/2022,"129.99","131.90","127.74","129.40","38,906,580"
02/18/2022,"133.04","133.82","130.31","130.47","31,858,600"
02/17/2022,"136.15","136.84","132.20","132.31","30,968,120"
02/16/2022,"136.43","137.95","134.82","137.49","25,609,660"
02/15/2022,"137.47","137.90","135.54","136.43","26,577,560"
02/14/2022,"133.37","136.17","133.30","135.30","26,792,800"
02/11/2022,"138.75","139.28","133.29","134.13","38,808,800"
02/10/2022,"139.50","141.43","138.05","138.60","33,017,700"
02/09/2022,"140.85","142.18","140.38","141.45","28,627,160"
02/08/2022,"138.99","139.84","136.87","139.21","34,255,040"
02/07/2022,"143.71","143.85","138.70","138.94","44,610,740"
02/04/2022,"143.02","144.54","139.82","143.02","49,224,400"
02/03/2022,"145.30","149.12","142.21","142.65","56,930,140"
02/02/2022,"151.86","152.10","145.56","148.04","89,750,760"
02/01/2022,"137.84","138.20","134.57","137.88","51,203,200"
01/31/2022,"134.20","135.84","132.27","135.70","34,055,560"
01/28/2022,"130.00","133.37","128.69","133.29","30,517,560"
01/27/2022,"131.36","132.61","128.95","129.12","30,285,020"
01/26/2022,"130.59","132.81","127.15","129.24","39,630,880"
01/25/2022,"128.44","129.34","126.38","126.74","36,008,600"
01/24/2022,"126.03","130.78","124.64","130.37","55,292,040"
01/21/2022,"133.01","134.76","130.00","130.09","41,919,220"
01/20/2022,"136.51","137.91","133.14","133.51","21,930,560"
01/19/2022,"136.94","138.40","135.50","135.65","20,795,280"
01/18/2022,"136.60","137.39","135.62","136.29","27,401,960"
01/14/2022,"137.50","141.20","137.50","139.79","23,825,920"
01/13/2022,"141.84","143.19","138.91","139.13","26,565,080"
01/12/2022,"141.55","142.81","141.11","141.65","23,641,580"
01/11/2022,"138.18","140.33","136.81","140.02","23,501,240"
01/10/2022,"135.10","138.64","133.14","138.57","34,095,680"
01/07/2022,"137.91","138.25","135.79","137.00","19,408,240"
01/06/2022,"137.50","139.69","136.76","137.55","29,049,040"
01/05/2022,"144.18","144.30","137.52","137.65","49,641,520"
01/04/2022,"145.55","146.61","143.82","144.42","22,927,780"
01/03/2022,"144.48","145.55","143.50","145.07","25,224,500"
12/31/2021,"145.54","146.37","144.68","144.68","17,297,700"
12/30/2021,"146.45","147.06","145.76","146.00","12,977,020"
12/29/2021,"146.43","147.18","145.50","146.50","17,024,720"
12/28/2021,"148.37","148.37","145.94","146.45","18,635,840"
12/27/2021,"147.46","148.43","147.25","148.06","13,259,320"
12/23/2021,"147.09","148.57","146.95","147.14","13,818,680"
12/22/2021,"144.10","147.30","143.96","146.95","18,440,480"
12/21/2021,"143.15","144.69","141.74","144.22","19,551,940"
12/20/2021,"140.68","142.61","140.25","142.40","20,263,520"
12/17/2021,"142.71","144.46","141.79","142.80","43,404,700"
12/16/2021,"148.08","148.55","144.09","144.84","27,399,740"
12/15/2021,"144.37","147.52","142.71","147.37","27,280,960"
12/14/2021,"144.77","145.44","142.24","144.97","24,778,800"
12/13/2021,"148.44","148.56","146.36","146.70","24,103,920"
12/10/2021,"149.10","149.40","147.36","148.68","21,638,460"
12/09/2021,"148.18","149.61","147.53","148.11","18,580,600"
12/08/2021,"148.33","149.16","147.20","148.72","18,963,940"
12/07/2021,"145.95","148.30","145.70","148.04","23,258,280"
12/06/2021,"143.57","144.35","140.65","143.80","22,197,700"
12/03/2021,"144.50","145.21","141.15","142.52","26,687,480"
12/02/2021,"141.82","144.68","140.98","143.78","21,250,700"
12/01/2021,"144.21","146.50","141.50","141.62","28,545,780"
11/30/2021,"145.45","146.63","142.07","142.45","41,590,520"
11/29/2021,"144.30","146.86","144.30","146.11","26,276,120"
11/26/2021,"145.02","145.30","142.49","142.81","16,992,120"
11/24/2021,"146.35","147.00","145.20","146.72","16,464,060"
11/23/2021,"147.11","147.69","144.89","146.76","18,133,140"
11/22/2021,"150.14","150.74","147.01","147.08","24,627,700"
11/19/2021,"151.00","151.85","149.89","149.95","19,782,960"
11/18/2021,"149.15","151.61","149.00","150.71","26,682,400"
11/17/2021,"149.23","149.63","148.56","149.06","15,290,820"
11/16/2021,"149.17","149.83","148.35","149.08","17,254,860"
11/15/2021,"150.00","150.48","148.65","149.39","16,247,340"
11/12/2021,"147.83","149.86","146.45","149.65","17,047,660"
11/11/2021,"147.11","148.50","146.69","146.75","12,463,100"
11/10/2021,"148.01","148.70","145.33","146.63","22,708,320"
11/09/2021,"149.75","150.38","147.51","149.25","16,875,560"
11/08/2021,"150.00","151.03","149.12","149.35","18,388,140"
11/05/2021,"149.35","150.57","148.65","149.24","20,408,140"
11/04/2021,"147.20","149.95","146.64","148.68","24,700,800"
11/03/2021,"146.28","146.91","145.05","146.79","17,886,600"
11/02/2021,"144.81","146.92","144.64","145.86","21,150,580"
11/01/2021,"148.17","148.40","143.58","143.77","32,272,100"
10/29/2021,"145.52","148.61","145.17","148.27","28,954,500"
10/28/2021,"147.30","147.42","144.76","146.13","32,418,060"
10/27/2021,"139.90","149.12","139.90","146.43","51,850,920"
10/26/2021,"140.61","140.84","139.01","139.67","28,258,740"
10/25/2021,"138.81","139.21","136.75","138.77","21,081,700"
10/22/2021,"140.35","141.56","137.17","138.63","30,182,640"
10/21/2021,"142.19","142.85","141.64","142.78","14,849,920"
10/20/2021,"144.22","144.25","141.91","142.42","17,939,500"
10/19/2021,"143.29","144.11","143.10","143.82","15,315,840"
10/18/2021,"141.21","143.00","141.21","142.96","16,567,200"
10/15/2021,"142.20","142.20","141.06","141.68","21,253,360"
10/14/2021,"139.95","141.65","139.34","141.41","21,437,560"
10/13/2021,"137.75","138.55","136.98","137.90","16,393,280"
10/12/2021,"139.64","139.70","136.25","136.71","22,535,020"
10/11/2021,"139.80","140.76","138.81","138.85","16,584,760"
10/08/2021,"139.91","140.32","139.43","140.06","18,928,420"
10/07/2021,"138.86","140.15","138.56","139.19","18,250,460"
10/06/2021,"134.63","137.85","134.49","137.35","19,764,320"
10/05/2021,"134.00","137.36","134.00","136.18","24,126,740"
10/04/2021,"135.70","135.70","131.17","133.77","31,529,900"
10/01/2021,"133.55","137.07","133.38","136.46","28,387,300"
09/30/2021,"134.33","135.59","133.00","133.27","35,363,980"
09/29/2021,"137.11","137.40","134.25","134.52","26,337,220"
09/28/2021,"139.09","139.61","135.70","136.18","42,189,660"
09/27/2021,"141.59","142.50","140.50","141.50","18,844,080"
09/24/2021,"140.95","142.90","140.85","142.63","14,949,340"
09/23/2021,"141.61","142.25","141.10","141.83","17,276,100"
09/22/2021,"140.05","141.58","139.47","140.94","22,067,800"
09/21/2021,"140.12","140.81","138.91","139.65","18,129,380"
09/20/2021,"139.00","139.36","137.05","139.02","34,917,720"
09/17/2021,"143.80","144.25","141.06","141.46","60,039,820"
09/16/2021,"145.12","145.20","143.42","144.37","20,298,840"
09/15/2021,"143.76","145.58","142.26","145.21","20,653,420"
09/14/2021,"144.16","144.73","142.91","143.41","18,919,140"
09/13/2021,"143.20","144.19","142.28","143.47","20,175,620"
09/10/2021,"145.44","146.02","141.74","141.92","32,896,620"
09/09/2021,"144.88","145.67","144.43","144.91","14,798,560"
09/08/2021,"145.39","145.55","144.20","144.88","15,491,660"
09/07/2021,"144.75","145.82","144.54","145.52","15,172,600"
09/03/2021,"144.15","145.38","143.51","144.78","19,110,480"
09/02/2021,"145.95","146.33","144.11","144.22","21,855,800"
09/01/2021,"145.65","146.82","145.61","145.84","15,824,680"
08/31/2021,"145.88","146.11","145.00","145.46","26,756,420"
08/30/2021,"144.70","146.49","144.60","145.47","16,915,900"
08/27/2021,"142.11","145.01","142.02","144.55","24,568,240"
08/26/2021,"142.62","143.13","142.09","142.12","14,922,000"
08/25/2021,"142.88","143.31","142.44","142.95","12,843,060"
08/24/2021,"141.54","143.01","141.35","142.40","15,126,260"
08/23/2021,"139.00","142.18","138.75","141.10","21,089,680"
08/20/2021,"137.08","138.61","136.47","138.44","15,566,740"
08/19/2021,"135.47","137.45","135.36","136.91","18,295,920"
08/18/2021,"137.12","138.29","136.42","136.57","14,934,460"
08/17/2021,"138.19","138.72","136.79","137.30","21,274,020"
08/16/2021,"138.00","138.99","136.17","138.92","18,050,840"
08/13/2021,"138.36","138.67","138.01","138.41","12,580,580"
08/12/2021,"137.71","138.42","136.78","138.39","14,649,400"
08/11/2021,"138.28","138.85","137.35","137.69","15,209,660"
08/10/2021,"138.08","138.55","137.23","138.10","16,039,080"
08/09/2021,"136.95","138.32","136.43","138.00","12,379,560"
08/06/2021,"136.30","137.08","136.05","137.04","13,565,020"
08/05/2021,"136.03","136.95","135.60","136.94","11,871,780"
08/04/2021,"136.25","136.54","135.42","136.03","16,527,140"
08/03/2021,"136.00","136.34","134.18","136.28","19,064,000"
08/02/2021,"135.48","136.02","134.67","135.99","20,140,040"
07/30/2021,"135.51","135.77","134.81","135.22","23,954,500"
07/29/2021,"136.38","137.15","136.14","136.54","19,283,340"
07/28/2021,"138.56","139.68","136.35","136.38","54,688,340"
07/27/2021,"140.01","140.01","135.10","136.80","42,163,060"
07/26/2021,"138.25","139.71","137.65","139.64","23,052,460"
07/23/2021,"135.26","138.81","134.70","137.82","26,377,740"
07/22/2021,"132.65","133.50","132.40","133.33","13,608,140"
07/21/2021,"130.79","132.62","130.60","132.60","14,741,640"
07/20/2021,"130.00","132.00","129.19","131.10","19,083,120"
07/19/2021,"131.16","131.25","128.54","129.25","25,709,320"
07/16/2021,"131.64","132.18","130.82","131.85","14,861,180"
07/15/2021,"132.50","132.60","130.60","131.27","16,586,320"
07/14/2021,"131.90","133.00","131.90","132.08","17,918,540"
07/13/2021,"130.88","132.04","130.64","130.99","16,617,960"
07/12/2021,"129.83","130.77","129.60","130.56","16,950,920"
07/09/2021,"128.94","129.85","128.94","129.57","15,109,320"
07/08/2021,"128.25","130.03","128.04","129.18","19,779,500"
07/07/2021,"130.34","130.64","129.76","130.08","16,683,720"
07/06/2021,"129.45","129.88","128.41","129.77","21,350,340"
07/02/2021,"126.84","128.85","126.77","128.72","21,165,120"
07/01/2021,"124.85","126.46","124.85","126.37","17,124,600"
06/30/2021,"125.65","125.80","124.76","125.32","24,009,560"
06/29/2021,"126.77","127.00","125.44","126.02","20,949,560"
06/28/2021,"127.00","127.34","125.97","126.82","28,110,860"
06/25/2021,"126.96","127.51","126.44","127.00","33,485,940"
06/24/2021,"127.05","127.54","126.96","127.28","18,933,240"
06/23/2021,"126.55","127.80","126.25","126.46","19,693,160"
06/22/2021,"126.45","127.27","126.03","127.00","20,986,200"
06/21/2021,"125.74","127.04","125.13","126.46","26,256,520"
06/18/2021,"125.71","126.39","124.60","125.57","53,306,200"
06/17/2021,"125.52","127.20","125.52","126.37","25,755,820"
06/16/2021,"126.25","126.52","124.15","125.70","26,316,760"
06/15/2021,"126.52","126.86","125.65","126.03","22,182,600"
06/14/2021,"125.67","126.41","125.05","126.35","22,550,440"
06/11/2021,"126.25","126.35","124.91","125.70","25,246,180"
06/10/2021,"124.70","126.16","124.70","126.08","31,234,660"
06/09/2021,"124.98","125.25","124.37","124.57","20,126,740"
06/08/2021,"124.00","124.72","123.41","124.14","25,065,060"
06/07/2021,"122.57","123.40","122.05","123.30","23,849,060"
06/04/2021,"121.13","122.69","120.89","122.59","25,948,680"
06/03/2021,"119.75","120.49","119.14","120.23","18,345,820"
06/02/2021,"121.77","122.10","120.21","121.06","17,162,100"
06/01/2021,"121.10","121.90","120.24","121.49","19,165,780"
05/28/2021,"121.10","121.41","120.38","120.58","24,107,640"
05/27/2021,"121.85","122.00","120.10","120.13","38,962,260"
05/26/2021,"120.64","122.15","120.63","121.68","21,856,380"
05/25/2021,"121.00","121.64","120.15","120.45","18,838,560"
05/24/2021,"118.35","120.92","118.01","120.33","21,243,780"
05/21/2021,"118.30","118.45","117.12","117.26","22,832,640"
05/20/2021,"116.40","118.02","116.05","117.80","23,831,860"
05/19/2021,"113.22","115.84","113.18","115.44","19,350,880"
05/18/2021,"116.85","117.16","115.16","115.17","17,302,380"
